Time,Price
2014/10/10,359.5
2014/10/11,361.3
2014/10/12,372
2014/10/13,383.4
2014/10/14,397.9
2014/10/15,393.5
2014/10/16,379.3
2014/10/17,380.3
2014/10/18,390
2014/10/19,386.3
2014/10/20,381
2014/10/21,382.8
2014/10/22,380
2014/10/23,356
2014/10/24,356.1
2014/10/25,347.4
2014/10/26,350
2014/10/27,350.6
2014/10/28,353.1
2014/10/29,333.2
2014/10/30,343.9
2014/10/31,337
2014/11/1,327.2
2014/11/2,322.5
2014/11/3,323.6
2014/11/4,326.9
2014/11/5,337.5
2014/11/6,348.5
2014/11/7,341.5
2014/11/8,345
2014/11/9,360
2014/11/10,368
2014/11/11,367
2014/11/12,417.9
2014/11/13,419.4
2014/11/14,399.1
2014/11/15,376.5
2014/11/16,388.2
2014/11/17,387.6
2014/11/18,370
2014/11/19,379.2
2014/11/20,355.9
2014/11/21,349.3
2014/11/22,346.4
2014/11/23,360.6
2014/11/24,373.2
2014/11/25,375.8
2014/11/26,367.9
2014/11/27,369.6
2014/11/28,375.6
2014/11/29,374.5
2014/11/30,376.7
2014/12/1,377.6
2014/12/2,382
2014/12/3,375.7
2014/12/4,370.3
2014/12/5,378.4
2014/12/6,372.8
2014/12/7,374.4
2014/12/8,363.3
2014/12/9,353.9
2014/12/10,346.9
2014/12/11,350
2014/12/12,352.8
2014/12/13,350.9
2014/12/14,352.7
2014/12/15,347.2
2014/12/16,330.6
2014/12/17,318.2
2014/12/18,308.3
2014/12/19,315.7
2014/12/20,329.1
2014/12/21,317.2
2014/12/22,329
2014/12/23,332.9
2014/12/24,322.8
2014/12/25,319
2014/12/26,328.5
2014/12/27,315.9
2014/12/28,317.5
2014/12/29,311.9
2014/12/30,308.8
2014/12/31,317
2015/1/1,313.9
2015/1/2,315.1
2015/1/3,282
2015/1/4,258.8
2015/1/5,273.2
2015/1/6,285.4
2015/1/7,297
2015/1/8,285.6
2015/1/9,292.8
2015/1/10,275
2015/1/11,266.2
2015/1/12,267.6
2015/1/13,229.8
2015/1/14,183.2
2015/1/15,217.7
2015/1/16,206.7
2015/1/17,201.2
2015/1/18,209.9
2015/1/19,213.2
2015/1/20,218
2015/1/21,225.5
2015/1/22,226.3
2015/1/23,235
2015/1/24,240
2015/1/25,254.5
2015/1/26,274.5
2015/1/27,263.6
2015/1/28,236.1
2015/1/29,235
2015/1/30,229.1
2015/1/31,218.4
2015/2/1,229
2015/2/2,237.8
2015/2/3,228.6
2015/2/4,227.1
2015/2/5,216.8
2015/2/6,223.2
2015/2/7,229
2015/2/8,224
2015/2/9,221.1
2015/2/10,220.9
2015/2/11,219.8
2015/2/12,222.4
2015/2/13,236.1
2015/2/14,257.2
2015/2/15,235.9
2015/2/16,233.6
2015/2/17,244
